Source,Target,Y2009
41,71,92642.0
57,103,92145.0
128,122,92000.0
32,74,92000.0
29,133,92000.0
147,41,92000.0
34,168,91060.0
128,73,91000.0
21,168,90727.0
110,73,90490.0
32,57,90000.0
164,168,89571.0
147,64,89538.0
164,78,89350.0
62,93,89328.0
29,14,89000.0
147,73,89000.0
32,81,89000.0
33,74,88000.0
107,81,87531.0
74,151,87000.0
56,6,86206.0
143,103,86204.0
33,107,86000.0
79,14,86000.0
32,168,85570.0
56,71,85363.0
114,164,85286.0
33,49,85000.0
114,107,84795.0
162,14,84746.0
142,33,84619.0
96,164,83999.0
96,107,83679.0
147,77,83541.0
32,4,83355.0
33,57,83000.0
62,81,83000.0
29,157,83000.0
161,115,82925.0
142,162,82765.0
28,79,82715.0
138,71,82098.0
29,6,81748.0
62,114,81713.0
164,70,81400.0
128,150,80621.0
56,64,80264.0
162,164,80155.0
164,120,80113.0
62,78,79874.0
162,128,79310.0
147,137,79124.0
139,62,79110.0
139,2,78837.0
148,162,78514.0
122,92,78442.0
7,127,78273.0
21,32,78168.0
33,157,78000.0
164,122,78000.0
29,49,78000.0
71,122,77917.0
96,6,77743.0
88,62,77246.0
160,157,77078.0
21,143,77000.0
114,44,76623.0
62,38,76353.0
143,2,76176.0
162,147,75815.0
147,78,75078.0
107,143,75004.0
21,81,75000.0
71,127,74861.0
33,82,74412.0
96,162,74052.0
62,125,74000.0
128,164,74000.0
127,157,73997.0
96,74,73741.0
53,56,73707.0
81,6,73178.0
162,143,72848.0
138,57,72805.0
7,29,72000.0
160,122,71451.0
128,53,71276.0
107,73,71080.0
147,151,71000.0
14,7,71000.0
56,78,70731.0
74,14,70000.0
29,143,70000.0
33,121,69953.0
164,50,69576.0
139,7,69547.0
147,123,69360.0
79,139,69252.0
143,157,69000.0
107,44,68936.0
114,33,68620.0
96,169,68572.0
125,169,68513.0
107,157,68042.0
62,49,68000.0
71,79,67954.0
62,77,67724.0
122,127,67005.0
62,74,67000.0
93,162,66997.0
41,139,66845.0
96,121,66501.0
7,64,66277.0
164,4,66071.0
147,145,65972.0
127,133,65825.0
164,142,65697.0
122,14,65006.0
122,7,64655.0
79,73,64000.0
57,156,63872.0
81,169,62896.0
62,96,62746.0
125,96,62488.0
127,79,62383.0
128,107,62000.0
74,62,62000.0
56,133,62000.0
57,7,62000.0
74,79,61000.0
57,41,61000.0
107,7,60783.0
7,128,60045.0
14,73,60000.0
122,143,59789.0
28,33,59781.0
142,143,59680.0
164,137,59438.0
107,164,59435.0
147,156,59306.0
21,157,59000.0
139,38,58954.0
34,48,58891.0
128,0,58675.0
160,62,58504.0
6,96,58280.0
151,74,58260.0
128,149,58025.0
128,14,58000.0
7,164,58000.0
53,62,57885.0
81,107,57686.0
127,149,57595.0
23,157,57123.0
79,107,57000.0
79,71,56996.0
138,127,56708.0
147,142,56691.0
62,32,56328.0
93,14,56181.0
148,107,56137.0
88,53,56022.0
14,122,56000.0
14,128,55995.0
56,121,55784.0
107,41,55721.0
123,7,55205.0
56,21,55130.0
105,151,55057.0
7,157,55000.0
56,125,55000.0
33,143,55000.0
33,101,55000.0
110,169,54843.0
13,128,54813.0
44,57,54775.0
74,116,54495.0
162,98,54486.0
41,162,54452.0
87,151,54259.0
32,143,54000.0
4,33,53964.0
21,34,53836.0
7,101,53000.0
21,7,53000.0
7,21,52855.0
164,89,52693.0
71,93,52565.0
122,44,52520.0
122,71,52280.0
62,23,52188.0
114,79,52162.0
127,62,52025.0
14,157,52000.0
128,88,51949.0
53,147,51947.0
162,74,51932.0
151,161,51783.0
71,138,51214.0
21,49,51000.0
33,116,50854.0
62,113,50571.0
164,161,50455.0
88,107,50403.0
169,33,50297.0
143,64,50195.0
79,74,50000.0
57,73,50000.0
57,29,50000.0
74,29,50000.0
74,157,50000.0
79,156,49807.0
142,151,49762.0
63,73,49607.0
96,49,49432.0
38,139,49265.0
41,57,49225.0
56,103,49014.0
57,157,49000.0
143,14,49000.0
142,62,48952.0
127,33,48440.0
62,92,48406.0
74,121,48306.0
79,128,48257.0
164,117,48089.0
110,121,48050.0
59,73,47961.0
81,121,47937.0
29,34,47763.0
162,79,47655.0
123,14,47486.0
128,86,47471.0
74,21,47412.0
114,81,47400.0
148,164,47264.0
127,89,47146.0
151,133,46925.0
21,119,46875.0
147,160,46789.0
21,120,46720.0
81,74,46644.0
33,142,46642.0
164,123,46540.0
56,53,46407.0
32,21,46003.0
128,74,46000.0
143,133,46000.0
143,101,46000.0
160,71,45506.0
38,49,45372.0
127,7,45279.0
6,164,45234.0
121,81,45164.0
37,73,45102.0
56,73,45000.0
164,147,45000.0
29,107,45000.0
7,133,45000.0
79,127,44930.0
74,142,44889.0
62,121,44873.0
92,62,44710.0
73,144,44680.0
96,133,44652.0
147,6,44368.0
33,21,44329.0
62,151,44000.0
21,29,44000.0
79,123,43675.0
164,64,43409.0
37,79,43290.0
56,96,43237.0
56,156,43234.0
7,49,43000.0
21,44,43000.0
21,169,42931.0
147,161,42917.0
164,80,42894.0
23,64,42887.0
164,116,42642.0
79,78,42576.0
151,6,42428.0
164,41,42000.0
7,2,41964.0
48,164,41757.0
96,82,41730.0
139,91,41665.0
81,62,41664.0
143,128,41308.0
32,48,41146.0
14,147,41000.0
128,7,41000.0
147,125,41000.0
41,14,40977.0
71,41,40861.0
13,122,40642.0
56,142,40619.0
81,137,40445.0
107,128,40406.0
6,125,40350.0
88,56,40271.0
93,107,40038.0
14,164,40000.0
62,34,39806.0
147,96,39646.0
88,122,39413.0
162,122,39227.0
3,113,39203.0
148,143,38812.0
148,14,38772.0
122,13,38636.0
88,92,38523.0
137,6,38520.0
62,137,38300.0
127,64,38289.0
142,113,38123.0
122,107,38095.0
32,133,38000.0
125,137,37882.0
125,157,37792.0
73,161,37696.0
