Source,Target,Y2007
29,164,16809000.0
164,29,4467000.0
128,33,3362000.0
164,33,3093000.0
147,62,2997000.0
164,101,2524000.0
147,162,2271000.0
56,62,2198000.0
62,57,2141000.0
62,162,1917000.0
62,79,1912000.0
7,79,1908000.0
62,7,1690000.0
7,62,1627000.0
62,107,1592000.0
29,33,1588000.0
147,107,1572000.0
56,162,1568000.0
14,57,1555000.0
33,164,1521000.0
164,81,1446000.0
57,62,1414000.0
29,81,1355000.0
57,143,1352000.0
62,122,1350000.0
62,164,1221000.0
21,164,1201000.0
14,107,1198000.0
107,62,1145229.0
96,81,1136000.0
81,33,1126247.0
62,14,1105000.0
74,33,1073000.0
57,79,1047000.0
14,62,1020000.0
147,79,982000.0
147,44,931000.0
57,162,883000.0
164,79,882000.0
147,114,857000.0
128,56,838000.0
143,57,818389.0
62,143,797000.0
128,81,790000.0
62,148,788000.0
57,14,747000.0
148,62,746399.0
32,33,736000.0
21,107,723000.0
56,57,711000.0
123,143,709987.0
147,57,707000.0
143,123,701632.0
164,125,679000.0
107,14,661018.0
147,143,660000.0
164,62,651000.0
56,143,647000.0
122,62,643531.0
62,41,640504.0
33,81,634000.0
79,62,618810.0
162,77,604657.0
21,33,603000.0
74,81,575000.0
74,125,573000.0
14,162,567000.0
56,164,567000.0
164,162,548000.0
32,164,547000.0
79,57,529390.0
77,162,519970.0
62,33,517000.0
29,125,508000.0
107,57,505389.0
62,44,494000.0
56,107,491000.0
21,14,488000.0
41,62,484890.0
29,162,483000.0
21,79,480000.0
56,128,479000.0
33,125,472000.0
56,81,469000.0
162,33,466595.0
128,49,465265.0
114,62,463949.0
110,6,461000.0
56,79,456000.0
164,143,454000.0
128,62,452000.0
79,143,443770.0
114,162,438299.0
107,162,430085.0
56,147,430000.0
125,164,428533.0
56,14,428000.0
62,147,424000.0
118,33,420424.0
88,162,404820.0
62,128,404000.0
143,79,403819.0
164,107,403000.0
81,164,399123.0
143,162,394265.0
128,83,388947.0
96,33,381000.0
62,157,375000.0
110,33,374000.0
29,79,371000.0
147,56,366000.0
162,62,360425.0
110,81,357000.0
21,4,356586.0
7,57,349000.0
41,7,348086.0
79,162,347541.0
128,160,341266.0
162,57,336346.0
32,101,336000.0
147,122,332000.0
21,57,328000.0
143,107,322226.0
147,33,322000.0
96,125,319000.0
74,96,316815.0
151,33,316174.0
7,148,306000.0
128,166,303183.0
128,157,303000.0
57,107,302000.0
32,79,301000.0
62,71,299075.0
107,33,297510.0
56,33,293000.0
147,7,293000.0
164,73,293000.0
110,125,292000.0
74,164,287000.0
128,162,286000.0
125,33,285079.0
7,162,276000.0
56,122,275000.0
147,14,273000.0
128,88,271066.0
164,157,269000.0
56,44,269000.0
88,147,262421.0
148,57,260038.0
29,73,260000.0
143,62,259427.0
21,162,258000.0
14,143,257000.0
123,107,255050.0
32,125,255000.0
128,53,254127.0
114,147,253918.0
101,164,253027.0
147,81,252000.0
6,33,248693.0
164,57,248000.0
164,21,247892.0
33,162,246000.0
122,128,242976.0
148,79,241697.0
56,148,240000.0
57,148,239000.0
29,57,239000.0
29,62,238000.0
7,107,235000.0
147,164,234000.0
138,62,233488.0
33,161,231356.0
41,79,231029.0
33,73,231000.0
41,138,230160.0
62,138,229761.0
107,44,228283.0
162,107,225680.0
59,33,224627.0
81,151,223694.0
164,14,222000.0
29,74,222000.0
164,36,221332.0
14,56,221000.0
7,41,218169.0
7,139,217769.0
122,160,215420.0
128,13,214468.0
56,157,214000.0
62,127,212213.0
160,128,211248.0
38,79,210407.0
139,79,209923.0
128,8,200662.0
21,56,200000.0
128,75,198162.0
7,122,198000.0
151,96,195900.0
105,73,195867.0
164,34,194898.0
71,62,192486.0
110,164,192000.0
96,151,191784.0
128,77,190592.0
33,29,190000.0
21,143,190000.0
33,157,188000.0
164,74,188000.0
147,77,186680.0
81,125,185460.0
151,125,185062.0
7,81,184000.0
56,49,183434.0
162,14,181460.0
7,71,180673.0
143,164,180333.0
14,79,180000.0
14,33,180000.0
32,81,180000.0
4,21,179744.0
59,57,179559.0
56,2,179392.0
79,64,178929.0
147,103,176603.0
164,48,173579.0
62,64,173059.0
62,142,173005.0
138,79,172955.0
33,62,171000.0
147,148,171000.0
44,62,170932.0
122,57,170895.0
105,33,170498.0
93,62,170198.0
74,133,167812.0
128,79,167000.0
33,133,166779.0
32,143,166000.0
62,56,166000.0
164,121,165506.0
96,161,164600.0
142,62,164558.0
74,6,164000.0
29,101,164000.0
79,164,162231.0
56,7,162000.0
56,6,160000.0
56,114,160000.0
128,125,160000.0
6,110,159350.0
33,75,159171.0
7,143,158000.0
128,147,156000.0
57,164,156000.0
147,128,155000.0
62,73,155000.0
147,133,154419.0
96,164,154000.0
56,64,153515.0
147,157,153000.0
137,74,152209.0
138,71,152203.0
33,151,152120.0
29,21,151924.0
125,75,151685.0
56,160,151359.0
79,7,151090.0
62,29,151000.0
96,107,151000.0
164,47,150970.0
122,79,150916.0
74,137,150423.0
33,96,149605.0
138,122,148983.0
142,162,148951.0
164,6,148000.0
151,169,146268.0
28,79,145531.0
147,2,143174.0
29,107,143000.0
128,57,142000.0
164,151,141954.0
123,79,141599.0
79,33,141528.0
114,14,141070.0
164,133,140089.0
164,32,139492.0
169,33,139314.0
125,6,139279.0
21,62,139000.0
74,73,139000.0
107,79,138630.0
147,71,136900.0
138,41,136359.0
32,57,136000.0
96,162,135000.0
62,77,134687.0
21,101,134000.0
110,73,134000.0
71,79,133865.0
56,133,133815.0
164,96,133795.0
62,139,133356.0
33,128,133000.0
122,147,131394.0
164,65,131275.0
79,157,131053.0
79,14,131003.0
96,73,131000.0
164,78,130506.0
128,164,130000.0
32,162,130000.0
62,114,129000.0
7,164,129000.0
44,147,128744.0
162,73,128450.0
71,7,127989.0
148,7,126802.0
33,49,126360.0
162,164,126219.0
29,143,126000.0
57,122,126000.0
122,7,125589.0
62,133,125330.0
164,49,125127.0
33,6,125000.0
21,81,125000.0
57,33,124000.0
33,169,123841.0
32,120,122842.0
7,138,122262.0
93,57,121318.0
41,122,121188.0
128,107,121000.0
33,14,121000.0
7,38,120713.0
7,127,120292.0
96,137,120130.0
62,160,119791.0
148,162,118967.0
32,34,118767.0
29,133,118491.0
114,44,118088.0
147,73,117000.0
127,79,116122.0
81,96,115892.0
62,123,115657.0
142,74,115129.0
29,14,115000.0
137,96,114550.0
29,6,114000.0
57,123,113529.0
125,73,112990.0
143,122,112674.0
29,168,112534.0
29,157,112000.0
33,79,111000.0
33,78,109697.0
147,64,109188.0
138,7,108829.0
147,49,108188.0
164,122,108000.0
33,137,107902.0
14,7,106000.0
62,81,106000.0
123,164,105251.0
122,41,105166.0
128,122,105000.0
53,147,104543.0
114,107,104523.0
164,169,104383.0
62,6,104000.0
128,92,103070.0
71,127,102514.0
123,62,102243.0
127,49,102051.0
62,101,102000.0
147,74,102000.0
7,64,101944.0
107,157,101478.0
88,53,101303.0
157,75,101053.0
33,57,101000.0
107,7,100629.0
79,122,99560.0
53,56,99511.0
143,157,99122.0
164,70,98596.0
56,125,98000.0
56,71,96393.0
33,143,96000.0
7,14,96000.0
123,57,95412.0
125,81,95376.0
35,33,95195.0
162,147,95118.0
32,4,94233.0
21,125,94000.0
14,164,94000.0
160,157,93845.0
62,161,93713.0
56,78,93131.0
74,79,93000.0
21,123,92263.0
122,127,91873.0
21,32,91571.0
62,21,91449.0
79,139,91248.0
143,2,91061.0
62,125,91000.0
96,169,90818.0
125,11,90641.0
28,33,90239.0
137,151,90070.0
122,138,90014.0
7,128,90000.0
122,162,89473.0
62,75,89466.0
29,49,89351.0
51,33,88771.0
33,74,88000.0
41,71,87930.0
107,122,87631.0
127,133,87286.0
62,93,87200.0
127,157,87111.0
128,73,87000.0
107,73,86910.0
122,92,86079.0
127,81,85775.0
139,7,85700.0
107,143,85682.0
62,78,85652.0
41,162,85331.0
92,62,85098.0
4,32,85040.0
32,62,85000.0
128,14,85000.0
122,107,84636.0
53,162,84468.0
122,143,84463.0
147,41,84447.0
142,14,83955.0
114,164,83835.0
107,164,83638.0
13,128,83502.0
96,74,83000.0
13,122,82671.0
53,62,82398.0
139,38,82388.0
164,4,82019.0
74,14,82000.0
162,143,81984.0
7,2,81288.0
32,14,81000.0
164,147,81000.0
164,123,80968.0
164,168,80797.0
56,103,80474.0
29,151,80244.0
79,148,80238.0
148,107,79783.0
71,57,79527.0
122,13,79447.0
74,151,79316.0
62,23,78855.0
161,115,78701.0
127,62,78650.0
21,168,78460.0
137,169,78313.0
96,6,78000.0
114,79,77686.0
57,93,77137.0
138,57,77110.0
74,157,77000.0
162,128,76935.0
41,139,76667.0
14,93,76089.0
147,78,75976.0
160,122,75881.0
122,44,75720.0
164,142,75540.0
56,77,75466.0
143,33,75360.0
147,123,75329.0
57,7,75000.0
148,164,74860.0
93,162,74472.0
128,150,74064.0
147,6,74000.0
23,157,73629.0
7,29,73000.0
88,62,72918.0
160,71,72864.0
93,14,72679.0
21,96,72345.0
110,74,72000.0
23,64,72000.0
128,71,71973.0
147,142,71706.0
88,56,71664.0
164,117,71638.0
147,160,71451.0
37,79,71208.0
62,92,70659.0
38,139,70600.0
32,133,70221.0
62,38,70020.0
7,157,70000.0
92,122,69915.0
147,137,69889.0
139,62,69809.0
56,53,69590.0
123,7,69508.0
143,103,69451.0
164,50,69167.0
34,168,68879.0
105,151,68828.0
41,57,68352.0
160,62,67822.0
164,120,67526.0
120,101,67296.0
57,2,67025.0
57,157,67000.0
44,57,66840.0
107,133,66546.0
133,49,66491.0
96,121,66335.0
128,149,66316.0
44,162,66230.0
56,156,66024.0
32,107,66000.0
33,101,66000.0
107,148,65960.0
96,142,65827.0
32,21,65807.0
107,41,65703.0
21,34,65333.0
56,21,65238.0
122,14,65229.0
81,74,65193.0
123,162,65117.0
56,101,65000.0
57,44,65000.0
110,121,64922.0
88,92,64415.0
57,103,64373.0
62,96,64187.0
57,64,64094.0
56,73,64000.0
6,125,63669.0
79,107,63452.0
107,147,63063.0
33,107,63000.0
147,156,62688.0
147,151,62214.0
143,14,62101.0
71,122,61833.0
164,137,61229.0
33,149,61068.0
79,78,61058.0
74,57,61000.0
32,6,61000.0
7,101,61000.0
122,71,60617.0
143,128,60412.0
160,79,60320.0
142,73,60173.0
79,71,60145.0
71,138,60023.0
21,6,60000.0
21,29,60000.0
139,2,59948.0
34,48,59554.0
92,147,59540.0
79,128,59407.0
127,149,59354.0
29,34,59299.0
162,74,59273.0
59,79,59167.0
74,29,59000.0
4,164,58797.0
142,107,58426.0
162,56,58318.0
92,88,58150.0
14,147,58000.0
28,57,57886.0
88,107,57779.0
96,133,57704.0
