Source,Target,Y2010
29,164,12554000.0
164,33,4808000.0
164,29,4181000.0
164,101,3159000.0
29,33,2998000.0
128,33,2873000.0
147,62,2819000.0
56,62,1987000.0
147,162,1957000.0
62,57,1955000.0
164,81,1565000.0
62,7,1523000.0
7,62,1511000.0
62,79,1489000.0
81,33,1472610.0
7,79,1427000.0
14,57,1416000.0
62,162,1408000.0
57,62,1377000.0
62,122,1364000.0
33,164,1329000.0
74,33,1321000.0
21,33,1293000.0
29,81,1268000.0
147,107,1255000.0
62,107,1187000.0
21,164,1177000.0
74,81,1138000.0
56,162,1126000.0
107,62,1097199.0
62,14,994000.0
57,143,993000.0
147,79,992000.0
143,57,984000.0
122,62,970765.0
14,107,962000.0
14,62,940000.0
96,81,897824.0
33,81,891000.0
110,33,877764.0
57,79,860000.0
164,79,848000.0
62,164,847000.0
62,148,821694.0
164,125,804000.0
57,14,768000.0
57,162,759000.0
32,33,741000.0
148,62,731611.0
21,107,715000.0
123,143,706235.0
143,123,701309.0
151,33,693915.0
147,114,682204.0
143,79,678000.0
79,62,667000.0
164,62,660000.0
147,57,646000.0
147,44,641976.0
79,33,610000.0
21,79,599000.0
62,41,582000.0
41,62,581330.0
164,73,577000.0
62,143,562000.0
56,57,558000.0
62,157,553000.0
79,57,539000.0
74,125,539000.0
143,107,530000.0
62,33,512000.0
128,49,511914.0
162,33,506653.0
147,143,492000.0
118,33,484059.0
107,14,483090.0
147,33,481000.0
56,143,467000.0
110,6,466092.0
164,162,466000.0
29,125,460000.0
107,57,458066.0
147,122,449000.0
56,147,448000.0
56,33,442000.0
56,128,441000.0
29,73,437000.0
56,14,431000.0
128,56,418000.0
74,164,413000.0
21,14,406000.0
143,33,406000.0
33,125,402000.0
164,157,398000.0
6,33,394468.0
128,81,394000.0
56,79,394000.0
81,164,393688.0
79,7,390000.0
21,4,386093.0
62,147,377000.0
114,62,375711.0
74,96,374821.0
41,7,374428.0
56,164,369000.0
162,77,368147.0
107,33,364572.0
147,14,355000.0
107,162,352325.0
125,33,351605.0
143,162,351000.0
125,164,350810.0
128,166,350418.0
128,62,349000.0
33,162,343000.0
56,122,342000.0
164,21,341274.0
32,164,340000.0
59,33,333378.0
7,57,332000.0
164,107,330000.0
110,81,329760.0
62,44,325174.0
79,143,325000.0
162,62,321423.0
21,57,320000.0
32,79,317000.0
14,162,317000.0
29,79,317000.0
57,107,315000.0
147,49,314045.0
164,151,314000.0
96,125,309150.0
21,162,309000.0
77,162,308885.0
32,125,308000.0
147,56,307000.0
62,128,305000.0
110,125,304084.0
7,148,300140.0
164,143,300000.0
56,81,298000.0
33,128,297000.0
96,33,295058.0
147,7,295000.0
32,101,295000.0
81,125,293629.0
165,33,293555.0
114,162,292723.0
62,71,291655.0
114,147,289118.0
128,160,287844.0
161,75,286541.0
74,133,285000.0
140,33,283191.0
143,62,281000.0
81,151,278380.0
33,151,278000.0
56,107,277000.0
142,74,272170.0
33,133,271000.0
56,157,268000.0
33,73,267000.0
14,56,266000.0
147,81,264000.0
101,164,261774.0
56,49,258895.0
164,74,258000.0
162,57,256069.0
165,62,254795.0
122,57,250101.0
128,157,245000.0
7,139,242865.0
79,74,242000.0
29,21,238749.0
147,133,238000.0
33,161,236758.0
29,74,236000.0
147,2,235669.0
57,33,234000.0
29,151,233000.0
164,57,233000.0
128,13,229887.0
21,56,229000.0
14,33,229000.0
79,162,228000.0
33,29,228000.0
164,36,226236.0
164,34,225813.0
21,125,225000.0
148,79,224356.0
32,107,224000.0
138,41,221364.0
164,48,220253.0
4,21,220035.0
164,14,220000.0
128,75,218735.0
148,57,218529.0
41,79,218428.0
151,96,218421.0
96,151,218015.0
33,6,218000.0
160,128,216388.0
57,148,215511.0
123,57,215077.0
7,41,215000.0
62,73,215000.0
35,33,214919.0
164,169,214690.0
137,74,213435.0
88,147,212420.0
62,127,212089.0
7,122,212000.0
122,128,211261.0
88,162,210843.0
164,6,209000.0
29,162,206000.0
105,33,205920.0
123,14,204268.0
123,62,200410.0
122,160,200322.0
127,49,200245.0
128,8,198596.0
62,21,195422.0
41,138,194633.0
21,62,194000.0
33,96,192709.0
147,157,191000.0
137,169,190776.0
164,32,190468.0
138,62,188865.0
151,125,186111.0
137,151,185032.0
33,169,184130.0
