Source,Target,Y2008
29,164,15650000.0
164,33,4515000.0
164,29,3912000.0
128,33,3841000.0
147,62,3755000.0
56,62,3076000.0
164,101,3062000.0
62,57,2306000.0
29,33,2038000.0
147,162,1964000.0
164,81,1816000.0
33,164,1777000.0
14,57,1767000.0
62,7,1759000.0
62,79,1729000.0
62,162,1725000.0
7,62,1670000.0
62,122,1608000.0
29,81,1601000.0
7,79,1512000.0
21,164,1504000.0
56,162,1389000.0
62,107,1377000.0
57,62,1354000.0
62,14,1313000.0
74,33,1309000.0
57,143,1309000.0
96,81,1300000.0
81,33,1254821.0
57,14,1122000.0
21,33,1090000.0
74,81,1082000.0
62,164,1064000.0
147,107,1062000.0
128,56,1061000.0
57,79,1039000.0
107,62,995000.0
14,107,984000.0
147,44,950000.0
164,79,936000.0
57,162,935000.0
147,79,904000.0
32,33,871000.0
62,148,844000.0
143,57,837508.0
29,125,834000.0
56,164,816000.0
107,14,809000.0
21,62,806000.0
147,114,794469.0
148,62,771947.0
33,81,770000.0
147,57,764000.0
164,62,750000.0
123,143,743671.0
164,125,741000.0
62,41,726034.0
143,123,719635.0
122,62,715721.0
62,143,708000.0
56,57,704000.0
56,14,657000.0
79,62,634394.0
56,107,627000.0
14,62,624000.0
128,81,620000.0
56,143,608000.0
79,57,581103.0
56,128,570000.0
147,143,555000.0
41,62,550351.0
21,79,545000.0
164,162,540000.0
62,44,540000.0
162,33,507050.0
162,77,504866.0
107,57,504000.0
110,6,500014.0
62,33,500000.0
21,14,500000.0
128,49,496776.0
32,164,490000.0
151,33,485453.0
29,74,485000.0
62,128,480000.0
128,62,476000.0
147,14,465000.0
147,33,453000.0
147,122,444000.0
107,33,436000.0
62,157,428000.0
96,33,427000.0
125,164,424321.0
62,147,423000.0
128,166,419636.0
118,33,419122.0
33,125,418000.0
56,147,418000.0
14,162,417000.0
81,164,415398.0
164,107,414000.0
74,164,411000.0
143,62,409589.0
114,62,408317.0
56,81,408000.0
29,162,405000.0
79,143,404809.0
110,33,403850.0
143,79,396815.0
147,56,395000.0
56,33,393000.0
57,107,385000.0
56,79,384000.0
96,73,384000.0
29,79,383000.0
21,4,379631.0
125,33,377845.0
114,162,376118.0
41,7,375503.0
162,62,374869.0
107,162,373000.0
143,107,368095.0
7,57,360000.0
164,143,358000.0
164,73,347000.0
7,148,344000.0
96,107,335000.0
32,101,335000.0
128,160,332229.0
162,57,326750.0
29,57,326000.0
128,157,326000.0
128,83,319669.0
6,33,319373.0
77,162,318583.0
32,125,313000.0
164,21,312617.0
32,79,312000.0
110,81,310488.0
33,161,310281.0
62,71,310042.0
101,164,309374.0
143,162,309037.0
79,162,307921.0
56,44,305000.0
164,157,304000.0
21,57,304000.0
114,147,303574.0
56,122,300000.0
74,96,298475.0
147,7,296000.0
110,125,293936.0
29,62,293000.0
122,128,290593.0
147,49,290041.0
96,125,288000.0
128,13,282823.0
96,151,274000.0
128,8,273541.0
14,79,273000.0
29,73,270000.0
29,21,267963.0
164,14,267000.0
14,56,267000.0
164,57,263000.0
14,33,262000.0
57,148,259000.0
148,57,258935.0
33,162,258000.0
21,56,256000.0
33,73,254000.0
148,79,253467.0
21,162,252000.0
41,138,249027.0
56,49,246498.0
105,33,246039.0
81,151,244717.0
62,127,244078.0
147,81,241000.0
81,125,240230.0
7,122,240000.0
7,41,238908.0
138,62,238906.0
122,160,237979.0
164,151,236000.0
164,36,235239.0
41,79,233369.0
7,162,232000.0
147,164,231000.0
7,107,230000.0
7,139,228563.0
62,138,227798.0
164,34,226496.0
147,157,225000.0
29,101,225000.0
29,133,224000.0
57,164,222000.0
164,74,219000.0
140,33,213564.0
29,157,212000.0
74,161,210285.0
151,96,209028.0
74,137,207737.0
7,71,207545.0
164,6,207272.0
105,73,206691.0
4,21,206510.0
138,79,206279.0
56,157,206000.0
162,107,205832.0
38,79,204619.0
139,79,202370.0
59,33,201024.0
57,33,200000.0
79,33,199676.0
162,73,198205.0
29,14,198000.0
128,75,197344.0
56,148,197000.0
147,148,197000.0
32,81,197000.0
88,162,196277.0
128,79,196000.0
33,128,195000.0
138,71,194388.0
14,143,194000.0
33,29,194000.0
29,151,193000.0
33,151,192000.0
88,147,190057.0
59,57,189550.0
33,6,188217.0
138,122,187825.0
151,125,187052.0
33,133,187000.0
32,120,186403.0
93,62,184668.0
151,169,183625.0
62,64,183558.0
147,77,182599.0
56,160,180368.0
127,49,180122.0
107,44,179000.0
160,128,178283.0
79,64,177718.0
122,57,177163.0
138,41,177001.0
125,73,175993.0
164,48,173229.0
107,79,173000.0
62,73,172000.0
74,73,171000.0
93,57,170189.0
147,133,170000.0
21,81,170000.0
164,121,169062.0
147,128,169000.0
128,162,168000.0
110,73,166533.0
114,14,166017.0
7,81,166000.0
29,6,165765.0
164,47,165277.0
164,169,165185.0
79,164,162232.0
128,73,162000.0
62,56,162000.0
96,161,160511.0
62,142,159300.0
33,14,159000.0
164,65,158095.0
62,160,156648.0
147,71,156334.0
142,162,156062.0
162,14,155105.0
44,62,154947.0
6,110,153214.0
142,74,152937.0
143,164,152825.0
33,96,150863.0
62,161,150233.0
62,133,150000.0
62,6,149001.0
29,49,148910.0
165,62,148462.0
21,107,148000.0
96,164,148000.0
147,103,147457.0
28,79,147126.0
128,164,147000.0
110,164,146599.0
137,74,146327.0
33,62,146000.0
7,164,146000.0
32,143,145000.0
71,7,144243.0
57,122,144000.0
74,6,143226.0
143,33,142915.0
21,101,142000.0
32,168,141440.0
57,123,141190.0
7,138,140538.0
33,169,140352.0
56,114,140127.0
122,147,138960.0
56,2,138608.0
96,137,138180.0
128,125,138000.0
122,79,137833.0
164,78,137619.0
147,64,137561.0
123,62,137547.0
164,96,136959.0
41,122,136344.0
21,29,136000.0
164,49,134855.0
128,88,134825.0
71,79,134461.0
164,32,133259.0
148,7,133161.0
62,101,133000.0
137,169,132558.0
7,38,132527.0
35,33,132257.0
128,147,132000.0
33,157,132000.0
32,34,131520.0
122,7,131176.0
29,143,131000.0
62,29,131000.0
7,14,131000.0
79,7,130688.0
33,49,130641.0
62,139,130135.0
81,96,128266.0
56,64,127244.0
56,7,127000.0
122,41,125858.0
33,137,125220.0
44,147,124320.0
147,74,124000.0
162,164,123642.0
127,157,123289.0
96,162,123000.0
164,133,123000.0
128,122,123000.0
147,151,122000.0
107,7,122000.0
21,32,121832.0
79,157,121492.0
147,73,121000.0
62,21,120796.0
63,73,120666.0
71,57,120290.0
137,96,120035.0
14,7,120000.0
164,70,119961.0
62,123,119947.0
123,57,119947.0
157,75,119294.0
137,151,117921.0
147,2,117584.0
125,81,117492.0
56,133,117000.0
7,143,117000.0
7,127,116785.0
107,122,116000.0
32,57,116000.0
56,78,115647.0
62,81,115000.0
128,107,115000.0
21,143,115000.0
164,122,115000.0
29,168,114640.0
