Id,Label,source,modularity_class,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
95,Malawi,Malawi,24,1,0,1,0,0,0,0,0.002473
96,Malaysia,Malaysia,16,18,23,41,4,0.5,0.561508,37.031866,0.010417
97,Mali,Mali,24,0,1,1,4,0.412338,0.433071,0,0.002111
98,Malta,Malta,0,2,0,2,0,0,0,0,0.002797
100,Mauritius,Mauritius,24,1,0,1,0,0,0,0,0.002969
101,Mexico,Mexico,4,19,7,26,4,0.440559,0.474206,33.983348,0.007485
102,Mongolia,Mongolia,24,1,0,1,0,0,0,0,0.002969
103,Morocco,Morocco,4,12,0,12,0,0,0,0,0.005717
104,Mozambique,Mozambique,24,1,1,2,4,0.413115,0.433862,0,0.002473
105,Myanmar,Myanmar,16,4,2,6,4,0.417219,0.440476,0,0.004058
106,Nepal,Nepal,16,1,0,1,0,0,0,0,0.003877
107,Netherlands (Kingdom of the),Netherlands (Kingdom of the),0,35,32,67,3,0.550218,0.615079,202.313513,0.014143
110,New Zealand,New Zealand,16,10,14,24,4,0.47191,0.517857,2.354413,0.006128
111,Nicaragua,Nicaragua,4,1,0,1,0,0,0,0,0.002477
113,Nigeria,Nigeria,16,10,1,11,4,0.411765,0.43254,0,0.00705
114,Norway,Norway,0,10,17,27,3,0.492188,0.539683,4.025153,0.004378
115,Oman,Oman,16,6,0,6,0,0,0,0,0.0071
116,Pakistan,Pakistan,16,18,4,22,4,0.379518,0.40873,41.86146,0.008311
117,Panama,Panama,24,2,1,3,4,0.411765,0.43254,0,0.003335
118,Papua New Guinea,Papua New Guinea,16,0,3,3,4,0.42053,0.446194,0,0.002111
119,Paraguay,Paraguay,4,2,1,3,4,0.373887,0.394841,0,0.00287
120,Peru,Peru,8,13,2,15,4,0.353933,0.376984,13.876659,0.010106
121,Philippines,Philippines,16,20,7,27,4,0.453237,0.484788,3.972584,0.009685
122,Poland,Poland,0,29,34,63,3,0.545455,0.617725,237.058661,0.011816
123,Portugal,Portugal,4,15,25,40,3,0.510121,0.572751,114.161384,0.006566
124,Qatar,Qatar,24,5,0,5,0,0,0,0,0.004096
125,Republic of Korea,Republic of Korea,16,26,24,50,4,0.525,0.580026,161.968471,0.010604
126,Republic of Moldova,Republic of Moldova,0,4,0,4,0,0,0,0,0.002846
127,Romania,Romania,0,20,31,51,3,0.538462,0.60582,132.857664,0.009277
128,Russian Federation,Russian Federation,8,21,65,86,3,0.659686,0.752646,752.119033,0.008339
133,Saudi Arabia,Saudi Arabia,16,29,6,35,4,0.388889,0.422619,279.157809,0.034973
134,Senegal,Senegal,4,2,0,2,0,0,0,0,0.003385
136,Sierra Leone,Sierra Leone,24,0,1,1,4,0.412338,0.433071,0,0.002111
137,Singapore,Singapore,16,16,20,36,4,0.473684,0.535053,30.722271,0.009159
138,Slovakia,Slovakia,0,13,14,27,3,0.47191,0.517196,6.050461,0.005223
139,Slovenia,Slovenia,0,16,17,33,3,0.477273,0.529101,38.242225,0.006979
140,Solomon Islands,Solomon Islands,24,0,2,2,4,0.417763,0.440945,0,0.002111
141,Somalia,Somalia,24,3,0,3,0,0,0,0,0.004665
142,South Africa,South Africa,24,15,19,34,3,0.501992,0.551587,422.04122,0.008087
143,Spain,Spain,4,28,37,65,3,0.567568,0.637566,440.990307,0.01512
144,Sri Lanka,Sri Lanka,16,8,1,9,5,0.325581,0.342857,0,0.006837
146,Suriname,Suriname,24,0,2,2,4,0.413681,0.437008,0,0.002111
147,Sweden,Sweden,0,20,57,77,3,0.642857,0.724868,186.188595,0.007809
148,Switzerland,Switzerland,0,16,13,29,3,0.484615,0.52381,4.915279,0.006554
149,Syrian Arab Republic,Syrian Arab Republic,24,2,0,2,0,0,0,0,0.003078
150,Tajikistan,Tajikistan,8,2,0,2,0,0,0,0,0.003555
151,Thailand,Thailand,16,25,23,48,4,0.484615,0.550926,135.095369,0.01121
155,Trinidad and Tobago,Trinidad and Tobago,4,3,0,3,0,0,0,0,0.0029
156,Tunisia,Tunisia,4,10,0,10,0,0,0,0,0.004966
157,Türkiye,Türkiye,4,35,22,57,4,0.448399,0.520503,492.094266,0.023267
158,Turkmenistan,Turkmenistan,8,1,0,1,0,0,0,0,0.00222
159,Uganda,Uganda,24,2,1,3,1,1,1,0.142857,0.004238
160,Ukraine,Ukraine,0,12,23,35,3,0.508065,0.566138,95.625329,0.005248
161,United Arab Emirates,United Arab Emirates,16,25,9,34,4,0.427119,0.468254,65.503059,0.016036
162,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,0,37,29,66,3,0.540773,0.601852,364.338018,0.019406
163,United Republic of Tanzania,United Republic of Tanzania,24,2,1,3,1,1,1,0.142857,0.003331
164,United States of America,United States of America,4,44,66,110,3,0.673797,0.760582,1524.324445,0.02838
165,Uruguay,Uruguay,4,2,16,18,3,0.498024,0.541005,8.502083,0.00287
166,Uzbekistan,Uzbekistan,8,4,0,4,0,0,0,0,0.004606
168,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),4,2,0,2,0,0,0,0,0.002459
169,Viet Nam,Viet Nam,16,27,11,38,4,0.463235,0.503307,41.484932,0.015126
171,Zambia,Zambia,24,1,1,2,4,0.413115,0.433862,0,0.002473
172,Zimbabwe,Zimbabwe,24,1,0,1,0,0,0,0,0.002473
