Id,Label,source,indegree,outdegree,Degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
80,Jamaica,Jamaica,4,0,4,2,0,0,0,0,0.002201
81,Japan,Japan,38,30,68,1,3,0.536082,0.586538,42.199413,0.007793
82,Jordan,Jordan,26,4,30,1,4,0.367925,0.392094,2.022171,0.006581
83,Kazakhstan,Kazakhstan,10,5,15,3,4,0.416,0.444979,11.425803,0.003023
84,Kenya,Kenya,31,3,34,1,4,0.296015,0.318376,479.053723,0.023515
85,Kuwait,Kuwait,30,3,33,1,4,0.377724,0.400641,1.883636,0.009147
86,Kyrgyzstan,Kyrgyzstan,5,0,5,3,0,0,0,0,0.003208
87,Lao People's Democratic Republic,Lao People's Democratic Republic,2,5,7,1,3,0.461538,0.482906,0,0.002071
88,Latvia,Latvia,19,35,54,0,3,0.543554,0.601496,7.884905,0.003407
89,Lebanon,Lebanon,28,2,30,1,4,0.29434,0.313034,2.147304,0.007974
90,Liberia,Liberia,1,1,2,1,3,0.449568,0.464744,0,0.001882
91,Libya,Libya,10,0,10,0,0,0,0,0,0.004154
92,Lithuania,Lithuania,24,30,54,0,3,0.532423,0.584402,21.215326,0.004565
93,Luxembourg,Luxembourg,14,9,23,0,3,0.477064,0.503205,0.57555,0.003445
94,Madagascar,Madagascar,5,1,6,1,1,1,1,0.711111,0.003538
95,Malawi,Malawi,1,1,2,1,6,0.187275,0.196474,0,0.001742
96,Malaysia,Malaysia,39,44,83,1,3,0.571429,0.635684,159.075118,0.010313
97,Mali,Mali,1,1,2,2,3,0.450867,0.465812,0.740768,0.001867
98,Malta,Malta,7,1,8,2,3,0.408377,0.42735,0,0.002386
99,Mauritania,Mauritania,2,0,2,2,0,0,0,0,0.00196
100,Mauritius,Mauritius,10,0,10,1,0,0,0,0,0.006861
101,Mexico,Mexico,39,14,53,2,3,0.485981,0.520299,68.044605,0.010662
102,Mongolia,Mongolia,4,0,4,3,0,0,0,0,0.002212
103,Morocco,Morocco,27,4,31,0,3,0.421622,0.446581,27.713016,0.007194
104,Mozambique,Mozambique,4,1,5,1,3,0.449568,0.464744,12.46134,0.002724
105,Myanmar,Myanmar,11,10,21,1,3,0.485981,0.511752,1.293858,0.004452
106,Nepal,Nepal,1,1,2,1,4,0.366197,0.383013,0,0.002303
107,Netherlands (Kingdom of the),Netherlands (Kingdom of the),53,64,117,0,3,0.626506,0.70406,341.609964,0.012538
109,New Caledonia,New Caledonia,4,0,4,1,0,0,0,0,0.002269
110,New Zealand,New Zealand,22,29,51,1,3,0.536082,0.584402,407.233869,0.005022
111,Nicaragua,Nicaragua,6,1,7,2,3,0.449568,0.464744,0,0.004626
112,Niger,Niger,2,0,2,2,0,0,0,0,0.002335
113,Nigeria,Nigeria,29,4,33,1,3,0.462908,0.481838,35.65232,0.009653
114,Norway,Norway,23,40,63,0,3,0.55914,0.620726,16.645488,0.004403
115,Oman,Oman,20,3,23,1,4,0.354545,0.373932,160.79421,0.013205
116,Pakistan,Pakistan,35,7,42,1,3,0.472727,0.495726,16.356992,0.008936
117,Panama,Panama,9,2,11,2,3,0.450867,0.467949,0.311111,0.003502
118,Papua New Guinea,Papua New Guinea,3,5,8,1,3,0.460177,0.481838,0,0.002362
119,Paraguay,Paraguay,8,13,21,2,3,0.492114,0.522436,0.825,0.002582
120,Peru,Peru,24,6,30,2,3,0.460177,0.483974,3.1992,0.006772
121,Philippines,Philippines,32,16,48,1,3,0.504854,0.537393,10.667901,0.007205
122,Poland,Poland,38,70,108,0,3,0.636735,0.721154,162.576959,0.006893
123,Portugal,Portugal,30,61,91,0,3,0.611765,0.691239,307.766119,0.007127
124,Qatar,Qatar,20,1,21,1,5,0.262185,0.271474,0.768071,0.008904
125,Republic of Korea,Republic of Korea,43,47,90,1,3,0.58427,0.648504,235.130854,0.010075
126,Republic of Moldova,Republic of Moldova,7,2,9,0,4,0.380488,0.402778,0,0.002137
127,Romania,Romania,32,50,82,0,3,0.58209,0.653846,153.138468,0.006838
128,Russian Federation,Russian Federation,32,91,123,3,3,0.696429,0.788462,424.291198,0.006747
129,Rwanda,Rwanda,2,0,2,1,0,0,0,0,0.006807
130,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1,0,1,2,0,0,0,0,0.001654
131,Samoa,Samoa,1,0,1,1,0,0,0,0,0.001643
133,Saudi Arabia,Saudi Arabia,46,21,67,1,3,0.503226,0.547009,225.42125,0.014207
134,Senegal,Senegal,17,1,18,2,3,0.449568,0.464744,0.740768,0.004337
136,Sierra Leone,Sierra Leone,0,1,1,1,3,0.449857,0.464968,0,0.001496
137,Singapore,Singapore,27,39,66,1,3,0.567273,0.622863,65.396821,0.007392
138,Slovakia,Slovakia,28,29,57,0,3,0.518272,0.573718,12.927642,0.004734
139,Slovenia,Slovenia,29,49,78,0,3,0.577778,0.649573,36.537807,0.005046
140,Solomon Islands,Solomon Islands,0,6,6,1,3,0.461765,0.485138,0,0.001496
141,Somalia,Somalia,6,0,6,1,0,0,0,0,0.006536
142,South Africa,South Africa,40,39,79,1,3,0.565217,0.621795,641.14641,0.011286
143,Spain,Spain,46,86,132,2,3,0.687225,0.774573,447.591159,0.009367
144,Sri Lanka,Sri Lanka,23,4,27,1,3,0.457478,0.477564,1.751423,0.007609
146,Suriname,Suriname,1,5,6,1,3,0.464286,0.485043,0,0.001882
147,Sweden,Sweden,33,85,118,0,2,0.687225,0.772436,282.606492,0.007761
148,Switzerland,Switzerland,24,33,57,0,3,0.543554,0.597222,10.354354,0.004611
149,Syrian Arab Republic,Syrian Arab Republic,17,0,17,1,0,0,0,0,0.008376
150,Tajikistan,Tajikistan,3,0,3,3,0,0,0,0,0.002459
151,Thailand,Thailand,36,46,82,1,3,0.58209,0.645299,175.979657,0.010217
152,Timor-Leste,Timor-Leste,1,0,1,1,0,0,0,0,0.001882
153,Togo,Togo,3,0,3,1,0,0,0,0,0.002152
154,Tonga,Tonga,1,0,1,1,0,0,0,0,0.001643
155,Trinidad and Tobago,Trinidad and Tobago,8,0,8,2,0,0,0,0,0.002627
156,Tunisia,Tunisia,18,6,24,0,3,0.420485,0.449786,5.342713,0.004286
157,Türkiye,Türkiye,54,54,108,3,3,0.59542,0.668803,655.198587,0.018795
158,Turkmenistan,Turkmenistan,4,0,4,3,0,0,0,0,0.002287
159,Uganda,Uganda,6,2,8,1,5,0.229412,0.244231,17.591837,0.009532
160,Ukraine,Ukraine,26,42,68,0,3,0.55516,0.622863,182.718424,0.006448
161,United Arab Emirates,United Arab Emirates,48,32,80,1,3,0.541667,0.594017,567.54165,0.018809
162,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,53,55,108,0,3,0.604651,0.675214,709.601101,0.014841
163,United Republic of Tanzania,United Republic of Tanzania,14,1,15,1,5,0.228739,0.239957,155.165266,0.013149
164,United States of America,United States of America,60,93,153,2,2,0.712329,0.798077,1501.034253,0.017301
165,Uruguay,Uruguay,11,28,39,2,3,0.532423,0.580128,37.341581,0.004306
166,Uzbekistan,Uzbekistan,9,4,13,3,3,0.448276,0.470085,7.884643,0.003172
167,Vanuatu,Vanuatu,1,0,1,1,0,0,0,0,0.001643
168,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),4,7,11,2,3,0.472727,0.495726,0.56369,0.00195
169,Viet Nam,Viet Nam,44,24,68,1,3,0.527027,0.568376,97.854342,0.013484
171,Zambia,Zambia,3,1,4,1,3,0.450867,0.465812,12.46134,0.002281
172,Zimbabwe,Zimbabwe,1,3,4,1,4,0.363636,0.383013,0,0.001742
